date,start_time,end_time,title,description,source_time
2026-08-25,11:00,13:00,CCT tabling about ARC & ASP,Academic Success Program workshop series - Fall 2026,11am-1pm
2026-09-02,,,How to thrive in the 7-week schedule?,Academic Success Program workshop series - Fall 2026,evening
2026-09-16,,,How to use AI to support your learning?,Academic Success Program workshop series - Fall 2026,evening
2026-09-28,,,How to build your academic network?,Academic Success Program workshop series - Fall 2026,evening
2026-10-28,,,How to read a syllabus like a roadmap?,Academic Success Program workshop series - Fall 2026,evening
2026-11-11,,,How to bounce back from academic setbacks?,Academic Success Program workshop series - Fall 2026,evening
2026-11-25,,,How to make your 4-year plan?,Academic Success Program workshop series - Fall 2026,evening
